Artist,Date,Venue,City,DetailLink,Address,PostalCode,Latitude,Longitude
Dotan,2025-05-23T19:00:00+0200,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42234754-dotan-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
The Sugarhill Gang,2025-05-23T20:30:00+0200,Poppodium Q-Factory,"Amsterdam, Netherlands",https://www.songkick.com/concerts/41796040-sugarhill-gang-at-poppodium-qfactory,Atlantisplein 1,1093 NE,52.35762,4.9304
Make Them Suffer,2025-05-23T19:00:00+0200,Melkweg,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42318939-make-them-suffer-at-melkweg,Lijnbaansgracht 234a,1017 PH,52.36484,4.88127
Pieter de Graaf,2025-05-23T20:00:00+0200,Vondelkerk Amsterdam,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42449565-pieter-de-graaf-at-vondelkerk-amsterdam,"Vondelstraat 120,",1054 GS,52.3613,4.87375
The Dutch,2025-05-23T20:00:00+0200,deMess,"Naarden, Netherlands",https://www.songkick.com/concerts/42449556-dutch-at-demess,Adriaan Dortsmanplein 1b,1411 RC,52.29468,5.16482
Astels,2025-05-23T19:00:00+0200,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42462510-astels-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
Alabaster DePlume,2025-05-24T18:00:00+0200,Zonnehuis,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42225505-alabaster-deplume-at-zonnehuis,Zonneplein 30,1033 EK,52.41341,4.89126
Ibrahim Tatlises,2025-05-24T20:30:00+0200,Rai Amsterdam,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42289111-ibrahim-tatlises-at-rai-amsterdam,24 Europaplein,1078 AA,52.34322,4.89128
Enji,2025-05-24T19:00:00+0200,Bimhuis,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42421845-enji-at-bimhuis,Piet Heinkade 3,1019,52.37815,4.91283
Senyor Oca,2025-05-24,OT301,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42382049-senyor-oca-at-ot301,Overtoom 301,1054,52.36014,4.86571
Question Mark,2025-05-24T20:00:00+0200,Rock Club The Cave,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42323402-question-mark-at-rock-club-the-cave,Prinsengracht 472,1017 KG,52.36441,4.88486
