Index,Artist,Date,Venue,City,Latitude,Longitude
288,"Francisco, El Hombre",2025/4/30,Toekomstmuziek,Amsterdam,Unknown,Unknown
289,AURORA,2025/5/1,Ziggo Dome,Amsterdam,52.31345,4.93719
290,Cassia,2025/5/1,Tolhuistuin,Amsterdam,52.38515,4.90023
291,Pavel Milyakov,2025/5/1,Garage Noord,Amsterdam,52.38557,4.92572
292,Cochise,2025/5/2,Paradiso Tolhuistuin,Amsterdam,52.38308,4.90303
293,Andromedik,2025/5/2,Melkweg,Amsterdam,52.36484,4.88127
294,"Yves Berendse, Peter Beense, Wesly Bronkhorst, and Quincy",2025/5/2,AFAS Live,Amsterdam,52.31216,4.94467
295,Malte Marten,2025/5/2,Dominicuskerk,Amsterdam,52.377,4.89335
296,"Yves Berendse, Peter Beense, Wesly Bronkhorst, and Quincy",2025/5/3,AFAS Live,Amsterdam,52.31216,4.94467
297,Alexandra Kay,2025/5/3,Bitterzoet,Amsterdam,52.3774,4.89422
298,Eric Vloeimans and J?rg Brinkmann,2025/5/3,Theater Piet Mondriaan,Abcoude,52.27207,4.97047
299,Billie Eilish and SAMI.C,2025/5/4,Ziggo Dome,Amsterdam,52.31345,4.93719
300,Hadise,2025/5/4,AFAS Live,Amsterdam,52.31216,4.94467
301,Inna,2025/5/5,AFAS Live,Amsterdam,52.31216,4.94467
302,Swallow the Sun,2025/5/5,Melkweg,Amsterdam,52.36484,4.88127
303,The Delines,2025/5/5,"Main Hall, Tolhuis",Amsterdam,52.38311,4.90486
304,Q-Factory Bevrijdingsfestival 2025,2025/5/5,Poppodium Q-Factory,Amsterdam,52.35762,4.9304
305,Billie Eilish,2025/5/6,Ziggo Dome,Amsterdam,52.31345,4.93719
306,Robert Plant,2025/5/6,Koninklijk Theater Carr¨¦,Amsterdam,52.36238,4.90388
307,Alfie Jukes,2025/5/6,Melkweg,Amsterdam,52.36484,4.88127
308,Modern Biology,2025/5/6,Unknown,Amsterdam,52.37022,4.89517
309,Billie Eilish,2025/5/7,Ziggo Dome,Amsterdam,52.31345,4.93719
310,Judy Blank,2025/5/7,Paradiso,Amsterdam,52.36228,4.88395
311,Ghost,2025/5/8,Ziggo Dome,Amsterdam,52.31345,4.93719
312,Jamie Cullum,2025/5/8,Paradiso Grote Zaal,Amsterdam,52.36228,4.88395
313,"Ann My Guard, Shireen, and Vaselyne",2025/5/8,Poppodium Q-Factory,Amsterdam,52.35762,4.9304
314,Daniel Seavey,2025/5/9,Melkweg Max,Amsterdam,52.37022,4.89517
315,Inhaler,2025/5/10,Ziggo Dome,Amsterdam,52.31345,4.93719
316,Goose,2025/5/10,Melkweg,Amsterdam,52.36484,4.88127
